parameter,number_measurements,measurement_spacing,sample_size,num_removed_values,sd_estimate,lower_ci,upper_ci,lower_ci_90,upper_ci_90,estimate,num_converged_values,pop_value,conv_fail,perc_error,bias_status,ci_status,precision_status,errorbar_length,time_structuredness
bold(E:~theta[fixed]~(Baseline)),5,Equal spacing,30,0,0.012014324622165225,2.9762554161072887,3.0216744290213375,2.979891405990699,3.017910669091091,2.9988594709924135,999,3,0,0.038017633586218125,0,0,0,0.04541901291404882,Time unstructured (slow response)
bold(E:~theta[fixed]~(Baseline)),5,Equal spacing,50,0,0.011491139828392331,2.9804142830056986,3.016000650412556,2.983889855209182,3.0132465320845094,2.999097219814099,1000,3,0,0.03009267286337251,0,0,0,0.03558636740685728,Time unstructured (slow response)
bold(E:~theta[fixed]~(Baseline)),5,Equal spacing,100,0,0.006594026943111488,2.986199673104124,3.012045153897924,2.9887036176818937,3.0103668953030485,2.999571068770151,1000,3,0,0.01429770766163685,0,0,0,0.02584548079379978,Time unstructured (slow response)
bold(E:~theta[fixed]~(Baseline)),5,Equal spacing,200,0,0.004714755679643338,2.990793758184355,3.0092163123433027,2.992354459344276,3.008013090076011,3.00002882587084,1000,3,0,9.608623613358939e-4,0,0,0,0.01842255415894778,Time unstructured (slow response)
bold(E:~theta[fixed]~(Baseline)),5,Equal spacing,500,0,0.0031220180737356936,2.993831157470809,3.0057925911945746,2.9948364328996337,3.005132786323151,3.00002388708212,989,3,0,7.962360706622226e-4,0,0,0,0.01196143372376568,Time unstructured (slow response)
bold(E:~theta[fixed]~(Baseline)),5,Equal spacing,1000,0,0.002080057378847432,2.9958883564470096,3.004078717379987,2.9966916540366837,3.0034285859858976,3.0001249370115017,975,3,0,0.004164567050057855,0,0,0,0.008190360932977647,Time unstructured (slow response)
bold(E:~theta[fixed]~(Baseline)),7,Equal spacing,30,0,0.011022283908374515,2.978658580286641,3.0209109279035973,2.9813325601990104,3.017773656089609,2.9998257364855454,1000,3,0,0.005808783815153262,0,0,0,0.042252347616956065,Time unstructured (slow response)
bold(E:~theta[fixed]~(Baseline)),7,Equal spacing,50,0,0.008724536528875625,2.982344393076031,3.0174648419006354,2.9861744846100167,3.014083031849656,2.9997090042686936,1000,3,0,0.009699857710214015,0,0,0,0.03512044882460419,Time unstructured (slow response)
bold(E:~theta[fixed]~(Baseline)),7,Equal spacing,100,0,0.006194008359834464,2.9880493657290845,3.012094027471506,2.9898068422787367,3.0104281701233755,2.9998117716858244,1000,3,0,0.006274277139188082,0,0,0,0.02404466174242126,Time unstructured (slow response)
bold(E:~theta[fixed]~(Baseline)),7,Equal spacing,200,0,0.0042754269440805105,2.991858583097087,3.008186327121436,2.992969084282304,3.006986308288336,3.0000821944326943,1000,3,0,0.00273981442314349,0,0,0,0.016327744024348778,Time unstructured (slow response)
bold(E:~theta[fixed]~(Baseline)),7,Equal spacing,500,0,0.0028198760308562687,2.9947562710372213,3.005561143271195,2.9954177952688608,3.004641377884612,3.0002315189081004,995,3,0,0.007717296936678626,0,0,0,0.01080487223397375,Time unstructured (slow response)
bold(E:~theta[fixed]~(Baseline)),7,Equal spacing,1000,0,0.001955577346484571,2.996182472821523,3.003839360547411,2.9968225286933086,3.0032844129679006,3.0002112024082246,990,3,0,0.007040080274152889,0,0,0,0.0076568877258882395,Time unstructured (slow response)
bold(E:~theta[fixed]~(Baseline)),9,Equal spacing,30,0,0.01077009379251413,2.9800495623615935,3.021468648166975,2.9844832127646903,3.0189036828323057,3.0007771826203355,1000,3,0,0.02590608734451827,0,0,0,0.04141908580538134,Time unstructured (slow response)
bold(E:~theta[fixed]~(Baseline)),9,Equal spacing,50,0,0.008343959614570065,2.9839669735179317,3.015904722510594,2.985847730966731,3.01367708536818,3.000373041760163,1000,3,0,0.012434725338768734,0,0,0,0.03193774899266222,Time unstructured (slow response)
bold(E:~theta[fixed]~(Baseline)),9,Equal spacing,100,0,0.006044585574702681,2.9884536460207167,3.0119012303140145,2.9902236923409604,3.0100837193665373,3.000035562897237,1000,3,0,0.0011854299078943122,0,0,0,0.02344758429329774,Time unstructured (slow response)
bold(E:~theta[fixed]~(Baseline)),9,Equal spacing,200,0,0.004099611855372342,2.9923194260134123,3.0080292285674566,2.9934157840226407,3.0069373224272087,3.0001547217333946,1000,3,0,0.005157391113153054,0,0,0,0.015709802554044305,Time unstructured (slow response)
bold(E:~theta[fixed]~(Baseline)),9,Equal spacing,500,0,0.0026762990152352354,2.99487369161763,3.0052039728499875,2.9958867172114214,3.004498048261448,3.0003357039839913,1000,3,0,0.011190132799709929,0,0,0,0.010330281232357574,Time unstructured (slow response)
bold(E:~theta[fixed]~(Baseline)),9,Equal spacing,1000,0,0.0018346684145901756,2.9970035512199953,3.0040329865817794,2.9974037109093965,3.0033044114059955,3.000366260498012,1000,3,0,0.012208683267071288,0,0,0,0.007029435361784131,Time unstructured (slow response)
